listing_url,name,zipcode,smart_location,country,latitude,longitude
https://www.airbnb.com/rooms/667181,Private Double Room with Jacuzzi,8033,"Barcelona, Spain",Spain,41.45554,2.18395
https://www.airbnb.com/rooms/667762,ROOM WTH TERRACE IN GASPATX B&B,8031,"Barcelona, Spain",Spain,41.43944,2.15769
https://www.airbnb.com/rooms/671951,NEAR RAMBLA POBLENOU AND BEACH,8018,"Barcelona, Spain",Spain,41.40494,2.19887
https://www.airbnb.com/rooms/672728,Nice apartment in Napols Street BCN,8013,"Barcelona, Spain",Spain,41.39857,2.17709
https://www.airbnb.com/rooms/677012,HABITACION INDIVIDUAL  BARCELONA,8023,"Barcelona, Spain",Spain,41.40836,2.14911
https://www.airbnb.com/rooms/677850,Sunny and charming centric flat!!,8018,"Barcelona, Spain",Spain,41.39125,2.18364
https://www.airbnb.com/rooms/683062,Sunny and charming centric flat!!,8018,"Barcelona, Spain",Spain,41.39152,2.18313
https://www.airbnb.com/rooms/683195,"Penthouse loft-wifi-terrace, Gracia",8012,"Barcelona, Spain",Spain,41.40164,2.1635
https://www.airbnb.com/rooms/688703,"""EL MOLINO"" Paral.lel -near ramblas",8004,"Barcelona, Spain",Spain,41.37353,2.1684
https://www.airbnb.com/rooms/688946,Nice Renovated Apartment - El Clot,8018,"Barcelona, Spain",Spain,41.41012,2.19294
https://www.airbnb.com/rooms/699927,Nice studio in Gràcia,8024,"Barcelona, Spain",Spain,41.40731,2.1557
https://www.airbnb.com/rooms/700150,Luxury 2 bed suite with courtyard in city-centre,8007,"Barcelona, Spain",Spain,41.38609,2.16609
https://www.airbnb.com/rooms/717710,Central Loft Plaza Espanya center,8015,"Barcelona, Spain",Spain,41.38019,2.14559
https://www.airbnb.com/rooms/718469,Sagrada Familia-wifi-2rooms-air con,8013,"Barcelona, Spain",Spain,41.40498,2.17988
https://www.airbnb.com/rooms/721478,1 Sicilia Superior Apartment 4 bedrooms,8013,"Barcelona, Spain",Spain,41.39969,2.17735
https://www.airbnb.com/rooms/721479,2 Sicilia Superior Apartment 4 bedrooms,8013,"Barcelona, Spain",Spain,41.39947,2.17645
https://www.airbnb.com/rooms/722100,Cozy Queen S. bedroom w/priv bath,8015,"Barcelona, Spain",Spain,41.37517,2.16768
https://www.airbnb.com/rooms/722742,Quiet apartment with terrace-Gracia,8006,"Barcelona, Spain",Spain,41.39851,2.15535
https://www.airbnb.com/rooms/729078,In the heart of Barcelona,8001,"Barcelona, Spain",Spain,41.37768,2.17262
https://www.airbnb.com/rooms/730467,2 bdr Apartment nearby La Ramblas,8015,"Barcelona, Spain",Spain,41.37598,2.16293
https://www.airbnb.com/rooms/735587,Charming Bedroom on GASPATX B&b,8031,"Barcelona, Spain",Spain,41.44001,2.15943
https://www.airbnb.com/rooms/735620,charming double room in Gaspatx B&B,8031,"Barcelona, Spain",Spain,41.4398,2.15789
https://www.airbnb.com/rooms/740362,"Bedroom in a big house with ""patio""",8019,"Barcelona, Spain",Spain,41.41316,2.20759
https://www.airbnb.com/rooms/742820,Excellent Flat in Sagrada Familia,8013,"Barcelona, Spain",Spain,41.40523,2.17893
https://www.airbnb.com/rooms/750066,Stylish apartment in the heart of Sant Antoni,8015,"Barcelona, Spain",Spain,41.37608,2.16362
https://www.airbnb.com/rooms/753322,Big beautiful apartment in Gracia 4 rooms,8012,"Barcelona, Spain",Spain,41.39985,2.15715
https://www.airbnb.com/rooms/758925,Great room in nice environment,8012,"Barcelona, Spain",Spain,41.40337,2.15487
https://www.airbnb.com/rooms/759351,ÁTICO CON TERRAZA PLAZA ESPAÑA  REGISTRO HUTB00428,8014,"Barcelona, Spain",Spain,41.37212,2.14657
https://www.airbnb.com/rooms/763465,Very Nice Room to rent in Raval ,8001,"Barcelona, Spain",Spain,41.379,2.16562
https://www.airbnb.com/rooms/764452,☀︎Sunny.♡Couple's (Website hidden by Airbnb) friendly,8018,"Barcelona, Spain",Spain,41.40016,2.19542
https://www.airbnb.com/rooms/773802,CITY TRIP - Para 10 personas !!!!,8037,"Barcelona, Spain",Spain,41.40345,2.16586
https://www.airbnb.com/rooms/773886,Discover the Real Barcelona from an Apartment in Gracia,8024,"Barcelona, Spain",Spain,41.40589,2.15976
https://www.airbnb.com/rooms/777527,Plaza España,8015,"Barcelona, Spain",Spain,41.37645,2.16363
https://www.airbnb.com/rooms/777538,(ESQ) Spacious apart in Born Art,8003,"Barcelona, Spain",Spain,41.38463,2.17933
https://www.airbnb.com/rooms/790404,"(P2) Cozy flat,  LA PEDRERA Gaudí",8012,"Barcelona, Spain",Spain,41.40349,2.15931
https://www.airbnb.com/rooms/790475,"(P1) Cozy apart, Gracia LA PEDRERA",8012,"Barcelona, Spain",Spain,41.39872,2.15855
https://www.airbnb.com/rooms/796809,POBLENOU BEACH BCN FALL OFFERS 70E,8005,"Barcelona, Spain",Spain,41.39798,2.20426
https://www.airbnb.com/rooms/799240,STAYS UP TO 32 DAYS- STUDIO CITY CENTER,8015,"Barcelona, Spain",Spain,41.37574,2.16502
https://www.airbnb.com/rooms/804268,New VINTAGE LOFT in a quiet area with garden,8005,"Barcelona, Spain",Spain,41.39469,2.19372
https://www.airbnb.com/rooms/810278,WIFI room in Barcelona full CENTER,8002,"Barcelona, Spain",Spain,41.37925,2.17687
https://www.airbnb.com/rooms/814154,Portal del Angel 3,8002,"Barcelona, Spain",Spain,41.38417,2.17248
https://www.airbnb.com/rooms/814172,Mar Bella 3 Barcelonastuff Apartment,8005,"Barcelona, Spain",Spain,41.40356,2.20606
https://www.airbnb.com/rooms/820629,Habitación doble para mujer estudiante/trabajadora,8023,"Barcelona, Spain",Spain,41.41812,2.14772
https://www.airbnb.com/rooms/821100,Central-2 Big Bedrooms-View--Lift,8015,"Barcelona, Spain",Spain,41.37651,2.16261
https://www.airbnb.com/rooms/832516,OFFER ROOM IN ATTIC NEAR PLZ ESPAÑA,8014,"Barcelona, Spain",Spain,41.36987,2.13834
