id,name,zipcode,smart_location,country,latitude,longitude
23939727,UD - Sant Antoni Apartment with Balcony - MID TERM RENTALS,8001,"Barcelona, Spain",Spain,41.37933,2.16314
23950630,Habitación amplia y luminosa / Aseo privado,8026,"Barcelona, Spain",Spain,41.40966,2.18629
23952113,Barcelona - Centre - Room Deprived 1 or 2 persons,8013,"Barcelona, Spain",Spain,41.40074,2.18327
23964555,Luxurious and centric with awesome rooftop terrace,8012,"Barcelona, Spain",Spain,41.39854,2.15799
23964784,Luminous 2 bed in the heart of La Vila de Gracia,8012,"Barcelona, Spain",Spain,41.3992,2.15668
23974175,piso centrico,8036,"Barcelona, Spain",Spain,41.3916,2.1533
23974236,"Acogedor, comodo, todos confort!",8027,"Barcelona, Spain",Spain,41.41767,2.18439
23982735,Room with priv bathroom & balcony inSagradaFamilia,8013,"Barcelona, Spain",Spain,41.4058,2.1809
23985594,Double room in beautiful Gracia!,8025,"Barcelona, Spain",Spain,41.40636,2.16388
23987370,Charming Alfons Apartment,8025,"Barcelona, Spain",Spain,41.41002,2.16514
23989053,Cozy Room near the Beach and 10 min away city cent,8005,"Barcelona, Spain",Spain,41.39715,2.19918
23989620,Уютная комната в центре Барселоны. Wi fi,8018,"Barcelona, Spain",Spain,41.39294,2.1729
23990630,Charming and Warm Studio with Amazing View of Las Ramblas,8002,"Barcelona, Spain",Spain,41.38395,2.1722
23992269,Lovely apartment near the center,8004,"Barcelona, Spain",Spain,41.37254,2.16867
23992690,""" LOVELY ROOM "" ( CCIB )",8019,"Barcelona, Spain",Spain,41.40911,2.21361
24004679,Apartamento Céntrico,8015,"Barcelona, Spain",Spain,41.37974,2.14741
24006347,MODERNISM AND LUXURY IN THE EIXAMPLE,8008,"Barcelona, Spain",Spain,41.39065,2.15887
24010679,PRIVATE BATHROOM SUITE A/C.  NEW!  EIXAMPLE AREA,8015,"Barcelona, Spain",Spain,41.37676,2.15506
24011492,Independent fully equipped big room in La Rambla,8002,"Barcelona, Spain",Spain,41.38365,2.17207
24015257,Cerca parque guell,8024,"Barcelona, Spain",Spain,41.4171,2.1653
24017417,★Double Room in the center★ Near to the Rambla&Sea,8003,"Barcelona, Spain",Spain,41.37736,2.19015
24026688,(inRAMBLAS) 1double room! Historic center,8002,"Barcelona, Spain",Spain,41.37818,2.17696
24027579,"Room in penthouse in diagonal, recently moved",8028,"Barcelona, Spain",Spain,41.38658,2.12586
24041138,NICE & INDIVIDUAL ROOMS in GRACIA 3,8012,"Barcelona, Spain",Spain,41.40407,2.15221
24049135,Big double room with private bathroom,8029,"Barcelona, Spain",Spain,41.38186,2.14306
24054263,Beautiful Family Room with balcony Born,8003,"BARCELONA, Spain",Spain,41.38333,2.18418
24054660,"private bedroom/shower, sunny apartment, poblesec",8004,"Barcelona, Spain",Spain,41.37328,2.16088
24059038,Sagrada Familia Apartment 265 Double 1,8025,"Barcelona, Spain",Spain,41.40542,2.17266
24059171,Sagrada Familia Apartment 265 Double 2,8025,"Barcelona, Spain",Spain,41.40546,2.17463
24063949,Double Room in BCN centro,8001,"Barcelona, Spain",Spain,41.37995,2.16737
24070247,Piso modernista D,8001,"Barcelona, Spain",Spain,41.38149,2.17054
